abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle,age,sex,race,hispanic,degree,partyid,relig,relactiv,rincom06,z.age,female,white,black,otherrace,collegeed,protestant,catholic,atheist,z.partyid,z.relactiv,z.rincom06,prochoice,se_prochoice
1,1,1,1,1,1,1,65,2,1,0,3,5,3,1,25,0.45909342,1,1,0,0,1,0,0,0,0.608580724,-0.205288197,0.814562746,0.962057214,0.573059215
1,1,1,1,1,1,1,24,1,1,0,3,5,2,2,NA,-0.718264554,0,1,0,0,1,0,1,0,0.608580724,0.008557205,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,32,1,1,0,1,6,2,0,13,-0.488536169,0,1,0,0,0,0,1,0,0.868431329,-0.419133599,-0.176051357,0.962057214,0.573059215
1,1,1,1,1,1,1,66,2,1,0,4,0,4,0,20,0.487809468,1,1,0,0,1,0,0,1,-0.690672303,-0.419133599,0.40180687,0.962057214,0.573059215
1,1,1,1,1,1,1,39,2,1,0,4,0,6,2,23,-0.287523832,1,1,0,0,1,0,0,0,-0.690672303,0.008557205,0.649460396,0.962057214,0.573059215
1,1,1,1,1,1,1,54,1,1,0,3,1,2,0,24,0.14321689,0,1,0,0,1,0,1,0,-0.430821698,-0.419133599,0.732011571,0.962057214,0.573059215
1,1,1,1,1,1,1,58,2,1,0,3,0,3,0,25,0.258081083,1,1,0,0,1,0,0,0,-0.690672303,-0.419133599,0.814562746,0.962057214,0.573059215
1,0,0,0,0,0,0,43,1,3,1,1,3,4,0,NA,-0.172659639,0,0,0,1,0,0,0,1,0.088879513,-0.419133599,NA,-0.630157577,0.304901133
1,0,0,0,1,0,0,55,2,3,1,0,2,2,4,NA,0.171932938,1,0,0,1,0,0,1,0,-0.170971092,0.436248009,NA,-0.173852636,0.169895692
0,1,0,1,1,1,0,40,2,3,1,0,2,2,0,NA,-0.258807784,1,0,0,1,0,0,1,0,-0.170971092,-0.419133599,NA,-0.111693461,0.150989598
0,0,0,0,0,0,0,35,2,2,1,1,2,2,0,NA,-0.402388024,1,0,1,0,0,0,1,0,-0.170971092,-0.419133599,NA,-1.716551686,0.515365984
