pres12,vote12,age,race,degree,sei10,rincom06,partyid,sex
.i,2,42,2,1,39.7,11,3,2
.i,2,46,2,0,.i,.i,4,2
.i,2,89,1,1,35.8,.i,1,2
.i,3,18,2,0,.i,.i,2,2
2,1,41,1,1,59.1,25,4,1
1,1,56,1,4,75.5,25,5,1
2,1,45,1,1,50,9,5,1
1,1,25,1,3,42.9,17,1,2
1,1,24,1,3,56.9,16,0,1
1,1,25,3,4,29.4,1,2,2
1,1,66,1,3,80.7,.i,0,2
1,1,36,1,4,54.1,3,1,1
1,1,65,1,1,59.8,19,2,1
2,1,44,1,4,76.3,16,4,1
2,1,78,1,1,32,8,3,1
1,1,59,1,4,79.3,22,0,1
1,1,65,1,3,61.2,25,1,1
1,1,41,1,3,87.90000000000001,.i,1,2
1,1,60,1,4,73.90000000000001,24,0,2
1,1,50,3,3,82.7,19,2,1
.i,2,66,1,3,86.09999999999999,.i,0,1
1,1,65,1,2,81.59999999999999,.i,2,1
.i,2,31,2,4,59.1,.a,2,1
1,1,32,1,4,88.7,13,1,1
1,1,28,1,3,83.8,20,2,1
1,1,29,2,1,38.8,11,0,2
2,1,71,1,4,43,.i,5,1
2,1,44,1,3,73.90000000000001,21,3,2
.i,2,31,1,1,43,.i,3,1
1,1,65,1,1,25.2,.i,1,1
1,1,72,1,3,73.90000000000001,.i,5,1
2,1,45,1,4,80.90000000000001,11,4,2
.i,3,19,1,0,.i,.i,3,1
.i,2,23,1,0,24,.i,2,1
.i,2,55,2,1,20.7,.i,1,1
.i,2,74,1,1,24.2,8,0,2
.i,2,60,3,1,21.6,9,0,1
1,1,38,1,0,24,.i,0,1
.i,2,75,1,1,22.9,.i,1,1
.i,2,55,1,2,14,13,3,2
.i,2,28,1,3,62.9,15,2,1
.i,2,75,1,0,28.7,.i,1,1
1,1,28,2,1,24.2,.i,3,2
1,1,24,1,1,44.6,16,2,2
1,1,53,1,2,35.8,.i,1,2
.i,2,40,1,2,46.7,19,4,2
1,1,55,1,3,84.2,18,3,2
1,1,70,1,1,71.59999999999999,.i,3,1
1,1,52,1,3,63.7,17,1,2
.i,2,63,1,1,31,17,1,1
2,1,69,1,3,57.5,.a,4,2
1,1,38,1,3,77.40000000000001,25,2,1
.d,1,63,1,3,51.8,.i,3,1
.d,1,43,1,4,91.09999999999999,.i,5,1
.i,2,31,1,0,35.8,19,3,1
1,1,60,1,4,80.90000000000001,21,2,2
1,1,59,1,3,77.40000000000001,24,1,1
1,1,54,1,4,63.7,21,2,2
1,1,38,1,4,91.09999999999999,25,2,1
1,1,47,1,4,81,22,1,2
.i,3,54,3,3,78.3,.a,1,2
1,1,25,1,3,65.3,20,0,1
.i,2,34,3,1,39.7,.i,1,2
1,1,54,1,4,91.09999999999999,.i,0,2
1,1,57,1,4,52,19,1,2
.i,2,21,1,1,17,10,2,2
1,1,66,1,1,62,21,0,1
1,1,69,1,0,41,.i,0,1
.i,2,50,3,4,88,21,3,2
1,1,65,3,1,60.5,17,3,2
1,1,74,1,4,92.09999999999999,24,0,1
2,1,68,1,3,77.40000000000001,.i,5,1
2,1,65,1,4,86.8,18,4,1
1,1,54,1,3,73.59999999999999,25,2,1
1,1,63,1,4,91.09999999999999,23,0,1
.i,2,66,1,3,27.1,23,2,1
.i,3,40,3,4,86.5,.i,4,2
.i,2,71,3,3,77.40000000000001,25,4,1
.i,2,36,3,0,22.9,16,3,1
1,1,58,3,1,50.1,16,0,2
.i,2,37,2,1,24.2,18,3,2
1,1,51,2,1,61.2,.a,2,2
1,1,60,3,2,28.7,.i,0,2
1,1,34,2,1,62.9,21,0,2
1,1,34,1,4,38.3,16,0,2
2,1,69,1,3,57,18,7,2
1,1,68,2,1,68.59999999999999,10,0,2
.i,2,32,2,1,46.2,22,2,1
2,1,74,1,1,25.7,.i,6,2
.i,3,31,3,1,19.7,14,3,1
2,1,56,3,3,69.3,4,4,2
1,1,37,2,2,41.1,16,1,2
1,1,50,1,1,52.4,.i,1,1
1,1,63,1,1,45.4,14,0,1
1,1,45,2,2,76.3,19,0,2
.i,2,50,1,0,35.3,19,7,1
1,1,23,3,1,.i,.i,4,1
.i,3,21,3,1,28.7,18,0,1
.i,2,60,1,1,23.8,19,2,1
.i,3,40,3,1,83.8,19,0,1
1,1,28,1,3,74.8,23,0,1
1,1,43,1,4,82.5,15,3,2
.i,3,22,3,3,.i,.i,3,1
.i,3,41,1,0,24.1,11,3,2
.i,3,29,3,4,87.90000000000001,22,4,1
.i,.d,22,1,0,80.09999999999999,.i,2,1
.i,2,33,3,1,13.3,1,4,2
1,1,42,1,3,80.90000000000001,21,1,2
.i,.d,29,1,3,62,21,1,1
.i,2,71,1,1,38.1,.i,3,2
1,1,44,1,4,92.8,25,2,1
.i,2,61,1,1,25.2,.i,1,1
2,1,80,1,1,58.4,.i,6,1
1,1,30,1,3,44.6,19,3,2
.i,2,33,1,1,26.2,23,3,1
1,1,69,1,3,73.40000000000001,13,0,1
1,1,37,1,3,57,10,3,2
1,1,70,1,4,84.5,.i,1,1
2,1,64,1,3,19.6,8,6,2
1,1,76,1,4,69.3,.i,0,2
2,1,76,1,1,43,.a,3,2
1,1,50,1,3,75.59999999999999,.a,1,1
2,1,38,3,3,54.6,16,4,2
.i,3,77,3,3,61.4,.i,1,2
1,1,49,3,1,57.4,16,3,2
.i,3,43,1,1,83.8,19,5,2
.i,.d,49,1,1,39.1,1,6,2
.i,2,64,1,1,38.8,.i,3,2
.i,2,36,3,1,45.4,.a,.n,1
2,1,49,1,3,52.6,18,3,2
.i,2,45,1,2,83.8,21,1,1
2,1,68,1,1,82.7,12,4,2
1,1,79,2,1,34.7,.i,0,1
2,1,53,1,1,57.4,19,5,1
2,1,74,1,1,68.59999999999999,.i,6,2
2,1,77,1,1,50,.i,4,2
2,1,30,1,3,69.3,19,5,2
2,1,44,1,3,.i,.i,6,2
1,1,56,2,1,62.6,11,7,1
.i,2,31,2,0,19.6,6,3,2
1,1,65,2,1,24.2,.i,3,2
.i,3,55,3,0,60.1,15,0,1
.i,2,55,2,1,13.6,18,3,2
.i,3,54,3,1,49.6,12,6,1
1,1,75,2,1,26.9,.i,0,1
1,1,53,2,3,61.5,.i,0,2
1,1,45,2,2,24.2,.i,0,2
.n,1,71,1,1,33.4,18,4,2
2,1,32,1,1,69.3,17,4,2
.i,2,33,3,3,76.7,.i,2,2
1,1,72,1,4,67.7,.i,2,2
1,1,70,1,1,29.7,.i,2,1
1,1,58,1,1,39.9,15,0,2
.i,2,54,1,3,68.59999999999999,20,4,2
2,1,70,1,1,39.7,12,6,2
1,1,47,2,1,42.2,24,0,1
2,1,47,1,3,65.3,20,5,1
1,1,33,1,2,57.5,.i,2,1
.i,2,47,2,1,22.9,3,2,1
2,1,40,1,3,41,.i,1,2
1,1,42,2,1,13.6,11,1,2
2,1,56,1,4,84.5,22,6,2
2,1,66,1,1,43,.i,6,1
.n,.n,55,1,3,82.5,18,3,2
1,1,74,2,1,52,.i,0,1
.i,3,18,1,1,24.6,.i,4,2
.i,2,58,1,1,24.2,.i,3,2
.n,1,76,1,2,37.6,.i,3,2
1,1,66,2,3,39.7,.i,0,1
2,1,62,1,2,38.8,15,6,2
.i,2,70,2,1,13.2,.i,2,2
1,1,53,2,1,31.6,16,0,2
1,1,83,1,4,73.59999999999999,.i,0,2
1,1,66,1,3,19.7,14,1,1
1,1,30,2,1,13.6,15,2,1
2,1,61,1,1,25.7,.a,5,2
1,1,81,2,1,43,.i,0,2
2,1,71,1,1,24.2,.i,6,2
1,1,80,1,4,76.3,.i,0,2
