pres12,vote12,age,race,degree,sei10,rincom06,partyid,sex
.i,2,22,1,1,43.9,1,2,1
.i,3,20,1,1,29.6,.i,5,1
3,1,23,1,1,36.8,.i,7,2
.i,2,41,3,1,39.9,16,1,1
1,1,29,1,1,22.4,10,7,1
1,1,32,1,3,51.5,12,2,2
1,1,37,1,4,59.1,9,0,2
2,1,54,1,1,31.2,.i,1,1
3,1,29,1,1,27,2,3,1
.i,2,43,1,2,63.7,8,3,2
2,1,76,1,3,80.90000000000001,.i,5,2
1,1,41,1,1,43,23,2,2
2,1,53,1,3,80.90000000000001,19,3,2
2,1,31,1,3,87.90000000000001,21,4,1
2,1,35,1,1,45.1,17,5,2
.i,2,36,1,1,39.9,19,6,1
2,1,42,1,3,63.7,.i,5,2
1,1,60,1,3,67.7,21,0,2
2,1,78,1,1,69.3,.i,4,1
2,1,72,1,1,13.2,.i,6,2
2,1,41,1,1,52,17,5,2
.i,2,49,1,1,32,18,6,1
.i,2,26,1,0,24.2,.i,0,2
2,1,61,1,3,38.8,16,4,2
2,1,33,1,1,55.1,16,6,2
.i,2,89,1,1,45.3,.i,0,2
1,1,34,1,3,38.8,13,2,2
2,1,65,1,1,18.6,10,6,1
.i,2,37,1,0,53.9,16,3,2
.i,2,44,1,0,53.1,18,3,1
.i,3,29,1,1,43.9,.i,2,2
1,1,74,2,1,28.5,.i,0,1
1,1,49,1,1,32,17,0,1
.i,3,38,3,0,25.2,10,3,1
1,1,53,1,1,24.6,11,0,2
2,1,69,1,1,34.6,.i,2,1
.i,3,19,1,0,.i,.i,4,2
1,1,78,1,1,35.8,.i,1,2
1,1,55,1,4,73.90000000000001,.i,0,2
.i,2,43,1,1,21.6,.i,2,2
.i,2,34,1,3,45.3,13,2,2
2,1,44,1,3,61.4,8,4,1
2,1,35,1,3,37.6,19,7,2
1,1,75,1,1,39.7,9,3,2
2,1,47,1,1,36.2,6,3,1
2,1,40,1,1,24.2,11,6,2
.i,2,58,1,0,24,16,2,1
1,1,53,1,4,69.3,.i,1,1
.i,3,19,1,1,39.7,2,3,2
1,1,53,1,1,12.6,.a,1,2
2,1,33,1,3,67.8,18,4,2
1,1,57,1,1,46.2,21,4,1
1,1,26,1,2,43,11,1,1
.i,2,39,1,1,38.3,21,.n,1
1,1,52,1,0,20.7,16,4,1
2,1,56,1,1,38.8,.i,1,2
1,1,55,1,0,35.8,.i,2,2
1,1,50,1,1,25.7,.i,0,1
1,1,53,1,2,23.7,.i,0,1
2,1,45,1,4,45.3,12,2,1
2,1,67,1,2,57.8,21,1,1
.i,2,71,1,0,13.6,16,3,2
1,1,44,2,1,36.9,18,1,2
2,1,37,1,4,62.4,20,4,1
1,1,27,1,1,39.7,17,1,1
1,1,58,1,4,71.8,22,0,1
1,1,66,1,4,88.7,20,0,1
2,1,61,1,2,80.7,21,4,1
1,1,60,1,1,43.9,.i,2,2
3,1,25,1,1,25.1,.i,4,1
1,1,56,1,1,14,.i,2,1
.i,2,57,1,1,32,17,.n,1
1,1,42,1,4,56.8,9,0,2
2,1,64,1,4,80.90000000000001,20,4,2
1,1,65,1,2,38.8,.i,1,2
.i,2,63,1,1,31.2,.i,3,1
.i,2,46,1,1,24,.i,3,2
1,1,33,1,3,37.6,17,1,1
1,1,32,1,3,73.40000000000001,16,2,1
.i,2,60,1,2,45.3,18,1,2
.i,2,55,1,1,43.8,.i,4,2
1,1,33,1,3,37.6,.i,2,1
.i,2,46,1,1,23.3,4,5,1
.i,2,25,3,0,13.6,10,3,1
.i,2,37,1,2,84.2,16,.n,1
1,1,36,1,3,84.5,17,0,1
1,1,39,1,4,88.7,18,0,1
.i,3,27,3,4,.i,.i,1,1
.i,2,29,2,2,39.7,.i,3,2
1,1,25,1,3,80.90000000000001,11,0,2
.i,2,28,1,1,25,2,3,2
1,1,78,1,4,57.5,.i,3,1
.i,2,39,1,1,24.1,.i,5,2
2,1,33,1,3,63.7,16,6,2
1,1,67,1,1,61.5,.i,1,2
1,1,71,3,1,56.9,19,0,2
1,1,58,1,3,52,18,0,2
.i,2,34,3,3,55.1,14,0,2
1,1,59,1,4,43,22,1,1
1,1,70,1,4,.i,.i,1,2
.i,2,67,3,1,26.1,.i,2,2
2,1,50,1,1,14,.i,6,1
2,1,67,1,3,69.3,.i,0,2
.i,2,35,1,1,81.59999999999999,.i,3,2
.i,2,37,1,1,43,15,3,2
.i,2,67,3,1,37.1,.i,2,2
1,1,73,3,1,68.59999999999999,.i,1,2
1,1,27,1,1,35.2,16,5,1
1,1,78,1,0,20.7,.i,0,1
.i,3,20,2,1,22.1,2,2,1
2,1,34,1,1,46.6,14,1,2
.i,2,80,1,0,18.8,.i,1,2
.i,2,56,1,0,42.9,.i,1,2
.i,2,67,1,0,26.2,.i,3,1
.i,2,22,1,0,19.6,13,3,2
1,1,23,2,1,21.6,7,.n,2
.i,2,31,1,0,32,18,3,1
1,1,70,1,1,38.8,.i,1,2
1,1,55,1,3,84.2,.i,1,2
.i,2,32,1,4,84.5,15,7,1
.i,2,56,1,4,73.2,19,3,2
2,1,34,1,3,57.8,.a,6,1
1,1,45,1,4,82.5,.a,1,1
1,1,60,1,1,35.4,.a,3,1
1,1,39,1,1,37.7,18,1,1
2,1,80,1,1,53.8,.i,5,1
1,1,28,1,2,62.7,16,2,1
1,1,41,1,4,82.5,18,3,2
.i,2,30,1,1,25.2,9,3,1
1,1,79,1,0,39.7,.i,1,2
.d,1,43,1,2,69.3,17,1,2
.i,2,46,3,1,14.4,12,3,1
.i,2,51,2,1,23.8,13,0,2
.i,2,59,3,0,43.9,.i,4,2
.i,2,39,1,1,24.6,.i,7,1
1,1,51,1,3,62.9,.i,0,2
2,1,66,1,1,38.8,10,5,2
.i,2,32,3,3,92.8,19,4,1
2,1,55,1,1,31.2,19,5,1
1,1,62,1,3,68,23,1,1
.i,3,19,1,0,.i,.i,5,1
.i,2,75,1,0,42.8,.i,1,1
.i,3,19,1,1,13.6,.i,1,2
2,1,50,1,1,41,12,5,2
2,1,37,1,3,88,.a,6,2
2,1,43,1,1,36.2,19,5,1
.i,2,26,1,3,14,9,7,1
.i,3,19,1,1,19.6,4,4,2
.i,2,43,1,1,12.6,.i,7,2
.i,2,74,1,1,38.8,.i,3,2
.i,2,60,1,1,45.3,19,1,1
2,1,49,1,3,52.4,20,4,1
1,1,41,1,1,39.7,.i,0,2
2,1,39,1,1,39.7,20,3,1
2,1,59,1,1,39.7,.i,5,2
2,1,77,1,1,50,.i,5,1
1,1,33,2,0,14,.i,0,2
1,1,51,1,1,34.1,4,0,1
.i,2,73,1,1,38.1,.i,4,1
1,1,34,1,1,18.6,.i,1,1
.i,2,37,1,3,14,8,3,2
.i,2,59,1,0,28.7,14,4,1
2,1,55,2,1,45.1,19,0,1
2,1,72,1,2,59.8,.i,7,2
1,1,50,1,4,88.7,18,0,2
2,1,60,1,2,69.3,16,5,2
.i,2,41,1,0,31.2,4,3,1
2,1,73,1,0,13.3,10,6,1
2,1,45,1,4,76.3,19,5,2
2,1,53,1,1,38.8,16,0,1
.i,2,33,1,1,43,3,0,2
.i,2,57,1,0,25.2,.i,3,1
2,1,66,1,1,31.6,9,6,1
2,1,46,1,1,26.2,18,4,2
1,1,52,1,1,14.6,5,2,2
1,1,60,1,4,82.5,20,1,2
1,1,27,1,1,24.6,11,1,2
.i,3,68,1,0,20.7,.i,6,2
.n,1,62,1,1,64.2,.i,4,1
.n,1,65,1,1,52.5,20,4,1
2,1,68,1,1,32,.i,5,1
2,1,41,1,3,81.59999999999999,20,5,1
1,1,63,1,1,39.7,3,0,2
.i,2,33,1,3,38.8,16,3,2
.i,2,21,2,1,23.8,5,1,1
.i,2,83,1,1,51.6,.i,4,2
2,1,47,1,3,82.5,16,5,2
.i,2,36,2,0,12.6,11,3,2
.i,2,67,1,1,.i,.i,3,1
1,1,81,1,3,38.8,.i,1,2
1,1,26,1,1,25.2,1,4,1
.i,2,49,1,1,13.6,.i,4,2
2,1,20,1,1,21.6,6,5,2
2,1,24,1,1,14.8,.i,4,1
2,1,55,1,1,63.7,.a,5,2
.i,2,28,1,1,13.6,12,5,1
2,1,78,1,1,56.9,.i,4,2
1,1,83,1,3,71.40000000000001,14,0,2
.i,.d,37,1,3,73.59999999999999,16,7,1
.i,2,.n,1,1,.i,.i,3,2
.n,1,22,1,3,14.6,5,3,1
1,1,55,1,3,21.8,.i,0,2
.i,3,30,2,4,86.8,15,3,1
.i,3,46,3,1,13.3,3,5,2
.n,1,45,1,3,62.4,.a,3,1
.i,2,57,1,1,37.2,15,3,2
2,1,63,1,1,38.2,.i,3,1
.i,2,59,1,1,20.7,.i,2,1
.i,2,27,1,0,21.6,.a,4,2
1,1,64,2,1,20.9,.i,0,2
.i,2,31,1,1,30.1,14,5,1
2,1,40,1,4,52.5,22,6,1
1,1,36,1,4,82.5,16,1,2
1,1,51,1,1,56.9,19,3,1
.i,2,46,1,1,17.1,.i,4,2
1,1,57,1,1,23.3,18,0,1
.d,1,35,1,3,82.5,17,1,2
1,1,37,2,1,43,13,1,2
2,1,62,1,1,28.7,9,3,1
.i,2,89,1,0,.i,.i,1,2
1,1,21,3,1,22.4,8,0,1
.n,1,66,1,1,36.4,.i,6,1
2,1,52,1,1,13.6,17,4,1
1,1,65,2,1,9,.i,0,2
1,1,49,2,1,25.2,5,0,1
1,1,57,1,2,38.8,17,0,2
2,1,54,1,2,77.90000000000001,22,4,1
2,1,37,1,4,92.8,24,5,1
1,1,39,2,1,24.2,9,0,1
2,1,58,1,2,38.3,.a,6,2
2,1,86,1,1,25.2,.i,5,1
2,1,77,1,1,38.8,.i,4,2
.i,2,49,1,1,24.2,11,3,2
2,1,67,1,1,52,19,4,2
.i,2,58,1,1,46,.i,5,1
.n,1,60,1,1,26.1,.a,1,2
1,1,56,2,1,13.3,.i,0,2
.i,2,44,1,1,25.2,13,3,1
1,1,71,2,1,43.9,.i,0,1
2,1,86,1,3,70.3,.i,6,1
2,1,32,1,2,50.4,19,5,1
1,1,61,2,0,12.6,.i,1,2
.i,3,19,2,0,.i,.i,3,2
.n,1,38,2,1,38.8,.a,3,2
.i,2,25,2,1,14,2,3,2
2,3,19,1,1,.i,.a,6,1
1,1,69,2,0,31.3,.i,0,1
1,1,57,1,1,14,.a,0,2
.i,2,45,1,1,21.6,6,3,2
.i,2,66,2,0,52.5,.i,0,1
1,1,37,2,3,28.5,.i,0,2
1,1,52,2,1,33.2,1,0,2
1,1,45,2,0,31,16,0,1
1,1,55,2,1,24.2,.i,0,2
1,1,30,2,1,.i,.i,0,2
.i,2,41,1,0,52,14,2,1
2,1,56,1,2,56.9,.i,6,2
2,1,61,1,1,69.3,18,6,2
2,1,36,1,2,46.6,19,5,2
1,1,50,1,4,84.5,20,1,1
1,1,59,1,3,67.7,20,2,2
1,1,78,1,1,24.2,.i,2,2
.i,2,28,1,0,39.1,.i,5,1
2,1,65,1,1,38.3,10,1,2
2,1,52,1,1,65.3,18,4,1
1,1,68,1,3,80.90000000000001,.i,0,2
2,1,70,1,1,76.3,.i,6,1
2,1,66,1,3,54.3,.i,4,2
2,1,84,1,1,43,.i,4,1
1,1,59,2,1,67.7,21,2,2
1,1,20,1,1,27.6,1,3,2
1,1,31,2,2,68.59999999999999,.i,3,2
2,1,43,2,4,32,25,6,1
.i,2,33,2,1,38.1,.i,1,1
2,1,37,1,4,88.3,19,3,2
.i,2,81,2,0,30.9,.i,3,2
.i,2,70,1,0,43.9,.i,0,2
.i,2,30,2,1,14.6,8,1,1
.i,2,74,2,0,20.7,.i,3,1
.i,2,65,1,0,26.9,.i,1,2
.i,2,25,1,3,.i,.i,5,1
2,1,52,1,1,21.8,15,2,2
3,1,56,1,1,34.1,.i,3,1
.i,2,84,1,0,26.8,.i,6,2
.i,2,50,1,1,23.3,5,4,1
.i,2,36,1,1,.i,.i,1,2
.i,2,25,1,1,39.1,16,6,1
1,1,73,2,0,36.8,9,0,2
.i,2,22,1,1,19.6,7,3,2
.i,3,37,3,3,41.1,.i,3,2
1,1,46,2,1,36.9,13,2,2
1,1,37,2,1,24.2,8,0,2
.i,2,44,1,1,21.8,5,0,2
.i,2,46,1,0,43,.i,3,2
.i,2,22,1,0,.i,.i,3,1
.i,2,.n,1,1,41.1,.a,5,2
2,1,33,1,1,38.8,12,4,2
.i,2,30,2,3,33.4,17,2,2
2,1,41,1,2,38.3,17,6,2
2,1,56,1,1,63.7,14,6,2
2,1,88,1,1,87.3,.i,6,2
2,1,72,1,1,38.1,16,4,1
2,1,54,1,1,53.6,19,6,1
1,1,49,1,2,38.8,.i,0,2
.n,1,48,2,1,38.8,.i,3,2
.i,2,50,1,0,34.6,17,3,1
2,1,72,1,0,32.8,.i,2,2
2,1,58,1,1,31.6,10,4,1
1,1,46,2,1,39.7,9,2,2
1,1,32,2,1,37.2,4,2,2
.i,2,25,3,0,14,.i,3,2
.i,3,58,1,1,45.4,20,6,1
2,1,60,1,4,67.8,20,6,2
1,1,41,2,1,24.2,16,0,2
1,1,29,2,1,39.1,16,1,2
3,1,32,1,1,76.3,17,3,2
.i,2,54,2,1,59.8,19,3,2
2,1,72,1,3,28.6,.i,5,2
1,1,52,1,4,92.8,24,2,2
2,1,71,1,3,67.7,.i,5,1
1,1,25,2,0,.i,.i,3,2
2,1,79,1,3,41.1,.i,5,2
2,1,76,1,3,81.5,.i,3,1
.i,3,53,1,0,25.7,.i,1,2
1,1,56,1,1,24.6,14,1,1
1,1,26,2,1,33.4,13,6,2
.i,3,20,1,1,26.5,7,2,2
.n,1,69,1,4,37.8,15,4,2
.i,2,59,1,3,77.40000000000001,22,5,1
1,1,80,1,1,21.6,.i,1,2
2,1,31,1,2,36.8,.i,5,2
.i,3,47,1,1,20.7,17,3,1
1,1,65,1,1,45.1,.i,1,1
1,1,53,2,1,38.3,16,1,2
2,1,79,1,1,52,.i,6,2
.i,2,43,1,3,37.6,.a,3,1
.i,2,87,1,0,25,.i,7,1
1,1,35,3,1,24,13,2,1
1,1,27,1,3,80.90000000000001,18,2,2
2,1,41,1,1,38.8,.a,6,2
1,1,50,1,3,23.8,.i,3,2
.i,2,29,1,1,41.1,13,5,2
1,1,47,2,1,21.4,.i,0,1
2,1,69,1,1,42.9,.i,.n,2
1,1,48,1,0,43.9,4,2,2
.i,2,74,1,0,.i,.i,3,2
.i,2,39,1,0,12.6,5,3,2
2,1,68,1,3,83.8,.i,4,1
1,1,58,1,4,85.2,.a,7,1
2,1,72,1,1,76.3,21,5,1
2,1,45,1,1,37.2,.i,6,2
1,1,47,2,1,53.8,6,4,2
1,1,21,1,1,62.1,.i,4,1
.i,2,48,2,1,23.8,.i,0,2
1,1,82,2,1,46.6,.i,0,2
1,1,52,2,1,23.3,9,0,2
.i,2,62,1,0,31,15,5,1
2,1,88,1,1,73.90000000000001,.i,5,2
.i,2,49,1,0,27.4,.i,6,2
.i,2,56,1,1,32,20,3,1
.i,2,88,1,1,39.9,.i,3,1
1,1,69,1,1,69.3,18,5,2
2,1,53,1,1,43,18,5,1
.i,2,64,1,0,35.3,20,1,1
.i,2,43,1,0,21.6,5,1,2
2,1,47,1,1,38.8,18,5,2
.i,2,56,1,1,52,18,5,2
2,1,51,1,1,20.8,20,6,1
2,1,47,1,1,39.9,18,6,1
1,1,32,1,1,70.5,15,1,2
2,1,64,1,3,74.59999999999999,25,5,1
1,1,41,2,4,80.90000000000001,19,2,2
.i,3,20,2,0,20.7,2,7,2
2,1,59,1,1,31.2,16,.n,1
1,1,43,2,3,71.7,18,1,2
1,1,22,2,3,37.2,9,0,2
1,1,39,2,4,65.3,20,7,1
1,1,30,2,1,25,19,1,2
1,1,57,2,1,24.2,15,4,2
1,1,20,2,1,19.6,.i,4,1
1,1,38,2,0,.i,.i,0,2
1,1,87,2,4,80.90000000000001,.i,0,2
1,1,58,2,1,13.6,.i,1,2
.i,2,34,2,1,21.6,3,.n,2
1,1,67,2,3,45.3,.i,0,1
1,1,60,1,0,17.1,.i,2,2
.i,2,47,1,1,20.5,.i,3,1
.i,2,22,1,1,.i,.i,1,2
2,1,52,1,4,75.5,20,6,1
.i,2,30,2,1,20.7,18,1,2
2,1,82,1,1,52.1,.i,5,1
1,1,68,2,1,21.6,.a,3,2
1,1,46,2,1,24.2,11,0,1
.i,2,22,1,1,.i,.i,2,2
.i,.d,25,2,0,19.6,4,1,2
1,1,32,2,1,10.6,1,1,1
1,1,60,1,3,59.1,25,1,1
2,1,34,1,4,91.09999999999999,21,3,1
2,1,67,1,3,82.5,.i,2,2
2,1,40,1,3,50,23,5,1
1,1,62,1,4,91.09999999999999,25,0,1
2,1,75,1,1,52,.i,4,2
2,1,30,1,1,19.6,10,0,1
.i,2,32,3,1,26.9,18,5,1
.i,2,49,1,3,63.1,.i,2,1
2,1,28,1,2,28.6,14,5,2
.i,2,43,2,2,36.9,16,2,2
.i,2,46,1,4,59.1,21,4,1
.i,2,42,2,3,38.3,18,3,2
2,1,63,3,1,67.7,13,1,1
2,1,54,1,1,20.9,.i,1,1
2,1,68,1,1,39.2,.i,6,2
2,1,76,1,1,35.8,.i,5,2
1,1,67,1,1,60.3,.i,2,2
.i,3,41,3,1,20.9,8,1,1
1,1,64,1,1,57.4,20,1,1
1,1,74,3,4,92.8,25,2,1
2,1,44,1,3,39.7,23,6,1
2,1,69,1,4,80.90000000000001,.i,6,2
2,1,51,1,3,71.59999999999999,.i,5,2
2,1,86,1,4,61.4,3,1,2
2,1,58,1,2,84.2,.i,6,2
1,1,78,1,4,52.3,.i,0,2
.i,2,58,1,1,49.6,17,4,2
2,1,41,1,2,32,.i,3,1
2,1,50,1,1,32,.i,4,1
1,1,34,1,1,38.1,4,2,2
1,1,66,1,4,65.3,23,2,1
.i,2,52,1,1,59.1,18,4,1
.i,2,52,1,1,20.7,2,1,1
2,1,56,1,4,77.2,12,5,2
.i,2,25,1,1,39.7,9,3,2
1,1,53,1,4,77.40000000000001,25,0,1
2,1,29,1,3,62,22,5,1
.i,2,26,1,1,26.9,12,2,1
2,1,60,1,1,44.6,.i,6,2
.i,2,53,1,1,24.6,.i,2,2
1,1,71,1,1,35.2,.i,1,1
1,1,80,1,1,24.6,.i,0,2
1,1,71,1,3,80.90000000000001,.i,0,2
.i,2,35,1,3,32,15,5,1
2,1,32,1,3,32,19,6,1
.i,2,31,1,2,38.8,5,3,2
2,1,81,1,0,38.1,.i,6,1
.i,2,26,1,3,84.2,19,2,2
2,1,56,1,1,39.7,19,4,2
1,1,78,1,1,46.5,.i,2,2
.i,2,45,1,1,46.6,.i,4,2
2,1,65,1,3,79.3,.i,6,1
1,1,78,1,3,67.8,18,0,2
1,1,51,2,2,46.2,16,5,1
3,1,23,1,1,23.3,3,3,1
.i,2,40,1,1,43,17,1,1
2,1,51,1,2,74.8,21,4,1
.n,1,79,3,3,86.5,.i,5,1
1,1,61,1,1,38.8,10,0,2
1,1,80,1,1,39.7,.i,0,2
1,1,67,1,1,34.4,.i,0,1
.i,2,66,1,1,84.2,.i,2,2
3,1,54,1,1,62,16,5,2
1,1,50,1,3,54.6,.i,0,2
1,1,41,1,1,28.3,21,4,1
2,1,33,1,1,26.9,10,1,2
1,1,63,1,1,35.3,18,1,1
2,1,44,1,3,19.6,10,1,2
.i,2,73,1,1,24.6,.i,5,2
.i,2,75,1,0,13.6,.a,2,2
2,1,67,1,4,88.3,.i,3,2
.n,1,83,1,1,28.4,.i,1,1
2,1,54,1,2,38.3,18,2,1
2,1,64,1,0,32,.i,4,1
.i,2,42,1,0,18.6,16,5,1
2,1,45,1,1,37.2,11,5,2
2,1,35,1,1,33.4,.i,1,2
2,1,40,1,1,52.4,19,5,1
1,1,50,1,1,.i,.a,2,1
2,1,85,1,3,71.7,.i,5,2
.d,1,77,1,1,56.9,19,0,2
1,1,41,1,3,68.59999999999999,20,1,2
1,1,88,1,1,32,.i,0,1
2,1,74,1,3,57,13,1,2
.i,2,33,1,1,51.5,16,5,2
.i,2,33,2,1,39.7,.i,1,1
3,1,36,1,1,38.1,12,3,2
1,1,57,1,3,68,18,0,2
.i,2,23,1,1,.i,.i,3,2
1,1,33,1,1,84.5,15,1,2
1,1,43,1,1,19.6,.i,1,2
1,1,62,1,1,32,.i,1,1
1,1,42,1,0,41,11,0,1
1,1,64,2,2,43.9,.i,0,2
1,1,57,1,1,39,.i,5,1
2,1,56,1,4,79.3,25,7,1
1,1,23,1,1,44.9,13,1,1
2,1,30,1,3,35.4,10,6,1
2,1,36,1,4,88.3,.i,2,2
1,1,32,1,4,75.5,18,1,2
1,1,25,1,4,.i,.i,2,1
.n,1,74,1,3,39.7,.i,3,2
1,1,74,1,3,76.3,.i,0,2
2,1,56,1,4,83.40000000000001,21,6,1
.i,2,24,1,1,26.9,6,4,1
1,1,24,1,3,.i,.i,2,2
.i,2,60,1,0,.i,.i,3,1
.i,2,37,1,1,21.6,3,4,1
2,1,47,1,2,43,24,5,1
2,1,20,1,1,19.6,5,6,2
.i,2,31,1,1,43,.i,3,1
2,1,44,1,1,34.8,16,4,2
1,1,69,1,3,52,.i,2,2
.i,2,43,1,2,25.1,3,1,2
.i,2,39,1,1,37.2,17,2,1
.i,2,21,1,1,64.5,.i,4,2
2,1,54,1,2,35.8,9,5,2
1,1,33,1,3,84.2,20,2,2
.i,2,60,1,1,20.5,12,1,2
1,1,29,1,3,80.90000000000001,17,0,2
1,1,72,1,1,35.8,5,0,2
.i,3,20,1,0,.i,.i,0,2
.i,2,27,1,1,23.7,3,5,1
2,1,80,1,4,77.40000000000001,.i,6,1
.i,2,56,1,4,71.40000000000001,18,5,2
.i,2,44,1,1,35.8,11,4,2
1,1,31,2,2,39.7,5,1,2
.i,2,49,1,1,.i,.i,6,2
.i,2,37,3,4,.i,.i,2,2
2,1,84,1,1,52.4,.i,5,1
2,1,67,1,1,36.9,.i,4,2
2,1,58,1,1,24.2,.i,4,2
2,1,53,1,1,68.59999999999999,16,5,1
1,1,39,1,1,62.9,14,7,1
1,1,89,1,1,48.3,.i,1,1
1,1,54,1,3,63.7,18,0,2
1,1,31,1,1,43,11,1,2
2,1,73,1,1,73.90000000000001,.i,5,1
2,1,67,1,1,27.1,10,6,1
2,1,47,3,4,52,16,2,2
2,1,78,1,1,48.3,.i,6,1
2,1,55,1,3,87.90000000000001,.i,6,2
1,1,57,1,1,23.8,18,2,2
.i,2,88,1,0,13.2,.i,3,2
.i,2,46,1,1,14.8,9,3,2
1,1,79,1,0,43.9,.i,0,1
1,1,41,1,1,43,15,5,2
.i,2,64,1,1,25.1,20,3,1
1,1,61,1,1,41,25,2,1
2,1,40,1,1,44.9,.i,7,2
.i,3,19,1,0,23.8,2,6,1
2,1,39,1,4,80.90000000000001,18,6,2
2,1,41,1,1,57.5,20,6,2
2,1,44,1,3,18.6,18,4,1
2,1,57,1,3,86.5,22,5,1
2,1,55,1,1,68.59999999999999,24,6,1
2,1,46,1,2,37.6,18,5,2
2,1,41,1,2,52,15,5,2
.i,2,37,1,1,46.6,17,2,1
2,1,87,1,1,56.9,18,6,2
2,1,42,3,1,23.3,19,6,1
.n,1,30,1,1,33.4,15,3,2
1,1,56,1,3,61.4,20,2,2
1,1,39,1,3,13.6,2,3,2
1,1,32,1,2,39.7,6,4,1
.i,2,50,1,3,84.2,19,3,2
.i,2,54,1,0,43.9,.i,3,1
2,1,43,1,2,65.3,19,6,1
2,1,80,1,1,66.09999999999999,.i,6,2
.i,2,51,1,1,21.8,1,3,2
1,1,71,1,0,32,.i,1,1
2,1,39,1,1,87.90000000000001,20,4,1
2,1,84,1,1,35.8,.i,6,2
1,1,43,2,1,25.1,19,3,1
2,1,70,1,1,56.9,.i,5,1
1,1,58,1,1,27.7,17,0,2
2,1,82,1,1,38.8,.i,6,2
2,1,37,1,3,77.40000000000001,22,4,1
.i,2,30,3,1,18.6,14,1,1
1,1,58,1,4,46.6,22,0,2
1,1,89,1,1,.i,.i,1,1
2,1,80,1,1,35.8,.i,5,2
2,1,66,1,0,14,5,3,2
2,1,30,1,3,25,9,4,2
1,1,57,1,1,38.3,19,5,2
2,1,55,1,4,62,21,6,1
1,1,64,1,3,62,20,3,1
2,1,58,1,1,32,21,4,2
.i,2,44,1,1,39.6,18,1,2
.i,2,31,1,1,14,19,3,1
2,1,31,1,4,92,23,6,2
2,1,64,1,1,56.9,23,6,1
.i,2,27,2,1,85.2,17,1,1
2,1,59,1,2,84.2,19,4,1
1,1,38,1,2,24.2,5,2,2
.i,.d,29,1,1,23.8,14,5,1
1,1,75,1,1,14,.i,1,1
.i,2,45,1,1,26.9,18,4,2
.i,2,44,1,1,19.6,9,4,2
.i,3,29,3,0,18.8,16,3,2
1,1,79,1,1,45.1,.i,5,1
.i,3,34,3,3,17.1,15,3,1
1,1,85,1,1,52.1,.i,2,1
.i,2,66,1,4,92.8,25,3,1
.i,2,26,1,2,69.3,18,2,2
.n,.n,66,1,1,21.6,.i,3,2
1,1,65,1,1,38.8,13,2,2
2,1,65,1,1,39.2,19,6,2
3,1,56,1,0,33.2,17,4,1
.i,2,56,1,1,50.4,.i,6,1
.i,2,34,1,0,23.3,.i,2,1
1,1,55,2,1,23.3,8,0,1
2,1,53,1,3,39.2,.i,6,1
1,1,82,1,4,75.5,.i,2,1
.i,2,29,1,1,20.7,8,1,1
.i,2,52,1,3,74.8,19,3,1
1,1,23,1,1,23.3,.i,2,1
2,1,33,1,1,65.3,18,6,1
2,1,56,1,3,64.90000000000001,23,7,1
2,1,28,1,3,24.2,13,4,1
2,1,76,1,1,38.8,.i,5,2
.i,2,33,1,1,23.3,19,4,1
2,1,68,1,1,23.8,.i,6,1
1,1,44,1,1,37.6,16,2,1
2,1,74,1,0,24.2,.i,6,2
1,1,55,1,3,76.3,17,2,2
2,1,67,1,1,39.7,18,6,1
1,1,59,1,4,84.2,20,2,2
1,1,55,2,1,38.1,12,1,2
.i,.d,45,2,0,21.6,.i,2,2
.i,2,56,2,0,35.3,18,5,1
2,1,27,1,1,27,14,6,2
2,1,34,1,0,27,9,3,2
1,1,61,2,1,63.1,.i,2,1
1,1,30,2,3,41.1,18,0,2
.i,2,25,3,3,83.8,2,5,1
1,1,56,2,1,24.6,.i,0,1
2,1,58,1,1,86.7,19,6,1
.i,2,38,1,1,12.6,5,3,2
.i,2,26,2,1,19.6,2,1,2
1,1,71,1,1,39.2,.i,5,2
1,1,44,2,0,21.3,12,0,1
1,1,35,2,3,43,13,1,2
1,1,38,2,4,41.1,18,0,2
1,1,53,2,0,13.6,12,6,2
.i,2,28,2,1,20.1,11,3,2
.i,.d,84,1,1,52.5,.i,7,1
.i,3,50,3,1,25.2,9,0,1
1,1,65,2,0,13.6,3,0,2
.i,2,26,1,1,62,11,4,1
2,1,52,1,1,80.90000000000001,13,6,2
.i,2,59,2,1,20.7,.i,0,1
1,1,54,1,1,43.4,.i,2,1
.i,2,44,1,1,56.8,22,6,2
.i,2,67,1,0,.i,.i,3,2
1,1,63,1,1,24.2,11,2,2
2,1,29,1,3,80.90000000000001,17,5,2
2,1,60,1,4,82.5,18,5,1
.i,2,20,1,1,45.4,4,5,1
2,1,65,1,1,39.7,1,3,2
.i,2,27,3,1,57.5,.i,3,1
.i,2,53,1,1,20.7,.i,3,2
.i,2,67,1,1,26.1,13,0,2
.i,2,30,1,2,24.6,16,5,2
.i,3,19,1,1,24.2,3,2,2
2,1,79,1,1,65.3,.i,5,1
.i,2,33,1,1,53.2,.i,1,1
1,1,75,1,0,61.2,10,3,1
2,1,79,1,0,39.7,.i,6,2
.i,2,32,1,0,28.6,.i,4,2
1,1,70,1,4,84.5,.i,2,2
.i,2,58,1,0,24,11,4,1
.i,2,73,3,0,28.4,.i,3,1
.i,2,45,1,0,28.4,19,2,1
1,1,33,1,0,13.6,.i,3,2
.i,2,80,1,0,32,.i,2,1
