"freetrade","oppfreetrade","greatoppfreetrade","supfreetrade","msupfreetrade","greatsupfreetrade","age","z.age","female","race4","educ","collegeed","nohsed","hsedorless","z.educ","unemployed","income","z.income","partyid","z.partyid","rep","dem","ind","strongrep","strongdem","ideology","z.ideology","vlib","vcon"
7,1,1,0,0,0,38,-0.296161374352462,0,1,2,0,0,1,-0.400200049659269,0,,,5,0.334123544737669,0,0,1,0,0,5,0.849687972587889,0,1
4,0,0,0,0,0,40,-0.237297001810358,1,1,5,1,0,0,0.585919169213673,0,9,0.516327501679201,2,-0.370427944626292,0,1,0,0,0,1,-0.858150233971744,1,0
2,0,0,1,1,0,39,-0.26672918808141,0,1,3,0,0,0,-0.0714936433682883,0,12,0.973497008220768,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
2,0,0,1,1,0,76,0.822261703947519,0,1,6,1,0,0,0.914625575504654,0,12,0.973497008220768,7,0.803824537646976,1,0,0,1,0,4,0.422728420947981,0,0
4,0,0,0,0,0,33,-0.443322305707723,1,4,5,1,0,0,0.585919169213673,0,8,0.363937666165345,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
3,0,0,1,0,0,38,-0.296161374352462,1,1,2,0,0,1,-0.400200049659269,1,2,-0.550401346917789,7,0.803824537646976,1,0,0,1,0,4,0.422728420947981,0,0
3,0,0,1,0,0,38,-0.296161374352462,0,4,6,1,0,0,0.914625575504654,0,7,0.21154783065149,,,0,0,1,,,,,,
3,0,0,1,0,0,42,-0.178432629268254,0,1,4,0,0,0,0.257212762922693,0,,,7,0.803824537646976,0,0,1,1,0,5,0.849687972587889,0,1
4,0,0,0,0,0,43,-0.149000442997201,1,1,3,0,0,0,-0.0714936433682883,0,6,0.0591579951376338,3,-0.135577448171638,0,0,1,0,0,3,-0.00423113069192707,0,0
5,1,0,0,0,0,46,-0.060703884184045,0,1,1,0,1,1,-0.72890645595025,0,9,0.516327501679201,4,0.0992730482830151,0,0,1,0,0,3,-0.00423113069192707,0,0
7,1,1,0,0,0,39,-0.26672918808141,0,1,5,1,0,0,0.585919169213673,1,1,-0.702791182431645,6,0.568974041192322,1,0,0,0,0,3,-0.00423113069192707,0,0
1,0,0,1,1,1,54,0.174753605984372,0,1,5,1,0,0,0.585919169213673,0,5,-0.0932318403762219,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
4,0,0,0,0,0,27,-0.619915423334035,1,1,5,1,0,0,0.585919169213673,0,3,-0.398011511403933,6,0.568974041192322,1,0,0,0,0,4,0.422728420947981,0,0
4,0,0,0,0,0,56,0.233617978526476,1,1,5,1,0,0,0.585919169213673,0,6,0.0591579951376338,4,0.0992730482830151,0,1,0,0,0,2,-0.431190682331835,0,0
2,0,0,1,1,0,48,-0.00183951164194076,0,1,6,1,0,0,0.914625575504654,0,11,0.821107172706912,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
7,1,1,0,0,0,47,-0.0312716979129929,0,4,5,1,0,0,0.585919169213673,0,11,0.821107172706912,2,-0.370427944626292,0,1,0,0,0,1,-0.858150233971744,1,0
3,0,0,1,0,0,32,-0.472754491978775,0,1,3,0,0,0,-0.0714936433682883,0,10,0.668717337193057,3,-0.135577448171638,0,0,1,0,0,3,-0.00423113069192707,0,0
2,0,0,1,1,0,58,0.292482351068581,0,4,6,1,0,0,0.914625575504654,0,10,0.668717337193057,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
4,0,0,0,0,0,80,0.939990449031727,0,1,3,0,0,0,-0.0714936433682883,0,9,0.516327501679201,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
3,0,0,1,0,0,49,0.0275926746291114,0,1,2,0,0,1,-0.400200049659269,0,,,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
7,1,1,0,0,0,42,-0.178432629268254,0,1,3,0,0,0,-0.0714936433682883,0,,,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
3,0,0,1,0,0,52,0.115889233442268,1,1,4,0,0,0,0.257212762922693,1,6,0.0591579951376338,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
7,1,1,0,0,0,57,0.263050164797528,0,1,5,1,0,0,0.585919169213673,0,11,0.821107172706912,3,-0.135577448171638,0,0,1,0,0,1,-0.858150233971744,1,0
7,1,1,0,0,0,60,0.351346723610685,0,1,5,1,0,0,0.585919169213673,0,9,0.516327501679201,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
3,0,0,1,0,0,74,0.763397331405415,0,1,2,0,0,1,-0.400200049659269,0,4,-0.245621675890078,5,0.334123544737669,0,0,1,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,78,0.881126076489623,1,1,2,0,0,1,-0.400200049659269,0,,,3,-0.135577448171638,0,0,1,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,63,0.439643282423841,0,1,2,0,0,1,-0.400200049659269,0,11,0.821107172706912,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
4,0,0,0,0,0,80,0.939990449031727,1,1,2,0,0,1,-0.400200049659269,0,,,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
2,0,0,1,1,0,55,0.204185792255424,0,1,6,1,0,0,0.914625575504654,0,15,1.43066651476234,4,0.0992730482830151,0,0,1,0,0,5,0.849687972587889,0,1
4,0,0,0,0,0,63,0.439643282423841,0,1,3,0,0,0,-0.0714936433682883,0,9,0.516327501679201,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
6,1,0,0,0,0,55,0.204185792255424,0,1,6,1,0,0,0.914625575504654,0,,,,,0,0,1,,,3,-0.00423113069192707,0,0
7,1,1,0,0,0,69,0.616236400050154,1,1,3,0,0,0,-0.0714936433682883,0,4,-0.245621675890078,4,0.0992730482830151,0,0,1,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,43,-0.149000442997201,1,3,2,0,0,1,-0.400200049659269,0,5,-0.0932318403762219,4,0.0992730482830151,0,0,1,0,0,1,-0.858150233971744,1,0
2,0,0,1,1,0,64,0.469075468694893,1,2,3,0,0,0,-0.0714936433682883,0,8,0.363937666165345,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
7,1,1,0,0,0,52,0.115889233442268,1,2,4,0,0,0,0.257212762922693,0,,,2,-0.370427944626292,0,1,0,0,0,2,-0.431190682331835,0,0
3,0,0,1,0,0,62,0.410211096152789,0,1,2,0,0,1,-0.400200049659269,0,10,0.668717337193057,5,0.334123544737669,1,0,0,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,49,0.0275926746291114,1,1,2,0,0,1,-0.400200049659269,0,,,6,0.568974041192322,1,0,0,0,0,5,0.849687972587889,0,1
5,1,0,0,0,0,53,0.14532141971332,0,1,2,0,0,1,-0.400200049659269,0,3,-0.398011511403933,2,-0.370427944626292,0,1,0,0,0,2,-0.431190682331835,0,0
4,0,0,0,0,0,30,-0.531618864520879,1,4,3,0,0,0,-0.0714936433682883,0,,,4,0.0992730482830151,0,0,1,0,0,3,-0.00423113069192707,0,0
6,1,0,0,0,0,70,0.645668586321206,1,1,6,1,0,0,0.914625575504654,0,13,1.12588684373462,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
6,1,0,0,0,0,47,-0.0312716979129929,0,1,3,0,0,0,-0.0714936433682883,0,1,-0.702791182431645,4,0.0992730482830151,0,0,1,0,0,3,-0.00423113069192707,0,0
3,0,0,1,0,0,30,-0.531618864520879,1,1,5,1,0,0,0.585919169213673,0,8,0.363937666165345,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
6,1,0,0,0,0,60,0.351346723610685,0,1,3,0,0,0,-0.0714936433682883,0,5,-0.0932318403762219,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
4,0,0,0,0,0,63,0.439643282423841,1,1,5,1,0,0,0.585919169213673,0,,,5,0.334123544737669,0,0,1,0,0,4,0.422728420947981,0,0
